bib,name,status,category,sex,country,Départ Cam,Pointe de,Plage de G,Cap de la,Port de Mo,Le Ped Ret,Arrivée
521,Maxime BLANCHARD,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:19.000+02:00,2024-09-14T13:50:31.000+02:00,2024-09-14T15:01:40.000+02:00,2024-09-14T16:06:08.000+02:00,2024-09-14T17:35:24.000+02:00,2024-09-14T19:32:17.000+02:00
791,Hugo TREUIL,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:06:08.000+02:00,2024-09-14T13:52:37.000+02:00,2024-09-14T15:01:44.000+02:00,2024-09-14T16:10:54.000+02:00,2024-09-14T17:45:27.000+02:00,2024-09-14T18:07:19.000+02:00
596,Cedric FABULET,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:22.000+02:00,2024-09-14T13:55:20.000+02:00,2024-09-14T15:10:57.000+02:00,2024-09-14T16:21:00.000+02:00,2024-09-14T17:53:26.000+02:00,2024-09-14T19:18:21.000+02:00
704,Julien MAGNERON,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:21.000+02:00,2024-09-14T13:54:22.000+02:00,2024-09-14T15:07:49.000+02:00,2024-09-14T16:14:19.000+02:00,2024-09-14T17:53:46.000+02:00,2024-09-14T18:35:56.000+02:00
789,Gaël TORILLEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:27.000+02:00,2024-09-14T13:54:26.000+02:00,2024-09-14T15:08:04.000+02:00,2024-09-14T16:14:59.000+02:00,2024-09-14T17:57:55.000+02:00,2024-09-14T20:11:17.000+02:00
597,Franck FALQUERHO,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:39.000+02:00,2024-09-14T13:49:54.000+02:00,2024-09-14T15:05:28.000+02:00,2024-09-14T16:18:06.000+02:00,2024-09-14T18:05:29.000+02:00,2024-09-14T18:19:44.000+02:00
793,Aymeric TROADEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:54.000+02:00,2024-09-14T13:54:18.000+02:00,2024-09-14T15:15:13.000+02:00,2024-09-14T16:26:59.000+02:00,2024-09-14T18:07:43.000+02:00,2024-09-14T18:36:29.000+02:00
691,Tristan LE ROUX,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:33.000+02:00,2024-09-14T13:57:19.000+02:00,2024-09-14T15:14:36.000+02:00,2024-09-14T16:33:51.000+02:00,2024-09-14T18:16:17.000+02:00,2024-09-14T19:58:33.000+02:00
593,Kévin DUSAUTIEZ,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:44.000+02:00,2024-09-14T13:51:25.000+02:00,2024-09-14T15:07:19.000+02:00,2024-09-14T16:28:29.000+02:00,2024-09-14T18:17:32.000+02:00,2024-09-14T19:02:33.000+02:00
550,Maxime CARIOU,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:06:03.000+02:00,2024-09-14T13:52:59.000+02:00,2024-09-14T15:13:04.000+02:00,2024-09-14T16:36:15.000+02:00,2024-09-14T18:18:23.000+02:00,2024-09-14T18:50:18.000+02:00
702,Christophe LOUAZON,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:30.000+02:00,2024-09-14T13:59:47.000+02:00,2024-09-14T15:20:26.000+02:00,2024-09-14T16:42:41.000+02:00,2024-09-14T18:34:15.000+02:00,2024-09-14T19:08:51.000+02:00
764,Matthieu ROPARS,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:07.000+02:00,2024-09-14T13:56:53.000+02:00,2024-09-14T15:16:33.000+02:00,2024-09-14T16:37:14.000+02:00,2024-09-14T18:31:07.000+02:00,2024-09-14T19:43:13.000+02:00
519,Arnaud BILLAUD,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:53.000+02:00,2024-09-14T14:02:12.000+02:00,2024-09-14T15:23:51.000+02:00,2024-09-14T16:49:32.000+02:00,2024-09-14T18:37:02.000+02:00,2024-09-14T18:52:14.000+02:00
714,Mickael MERRET,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:35.000+02:00,2024-09-14T13:57:00.000+02:00,2024-09-14T15:30:20.000+02:00,2024-09-14T16:48:56.000+02:00,2024-09-14T18:36:47.000+02:00,2024-09-14T19:20:34.000+02:00
507,Julien AUTRET,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:41.000+02:00,2024-09-14T13:50:42.000+02:00,2024-09-14T15:07:50.000+02:00,2024-09-14T16:31:45.000+02:00,2024-09-14T18:36:07.000+02:00,2024-09-14T19:21:06.000+02:00
508,Franck BALUSSON,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:12:28.000+02:00,2024-09-14T14:08:44.000+02:00,2024-09-14T15:33:54.000+02:00,2024-09-14T16:55:18.000+02:00,2024-09-14T18:44:16.000+02:00,2024-09-14T19:02:58.000+02:00
668,Rodolphe LE FRIEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:56.000+02:00,2024-09-14T13:59:34.000+02:00,2024-09-14T15:21:58.000+02:00,2024-09-14T16:49:10.000+02:00,2024-09-14T18:46:24.000+02:00,2024-09-14T19:31:24.000+02:00
503,Joseph ALLARD,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:09.000+02:00,2024-09-14T13:59:14.000+02:00,2024-09-14T15:21:45.000+02:00,2024-09-14T16:44:41.000+02:00,2024-09-14T18:46:24.000+02:00,2024-09-14T20:16:46.000+02:00
592,Dorian DURBACH,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:54.000+02:00,2024-09-14T14:00:15.000+02:00,2024-09-14T15:22:54.000+02:00,,2024-09-14T18:44:40.000+02:00,2024-09-14T20:19:32.000+02:00
524,Nicolas BLONDEL,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:59.000+02:00,2024-09-14T13:59:48.000+02:00,2024-09-14T15:23:39.000+02:00,2024-09-14T16:53:05.000+02:00,2024-09-14T18:44:40.000+02:00,2024-09-14T18:59:48.000+02:00
709,Flavien MALET,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:55.000+02:00,2024-09-14T13:57:04.000+02:00,2024-09-14T15:23:51.000+02:00,2024-09-14T16:54:49.000+02:00,2024-09-14T18:51:04.000+02:00,2024-09-14T19:06:39.000+02:00
659,Jérôme LE BRIS,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:55.000+02:00,2024-09-14T13:57:48.000+02:00,2024-09-14T15:30:44.000+02:00,2024-09-14T16:57:17.000+02:00,2024-09-14T18:53:21.000+02:00,2024-09-14T19:07:09.000+02:00
637,Guillaume JAOUEN,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:34.000+02:00,2024-09-14T13:59:54.000+02:00,2024-09-14T15:25:31.000+02:00,2024-09-14T17:00:13.000+02:00,2024-09-14T18:55:12.000+02:00,2024-09-14T19:36:57.000+02:00
665,Julien LE DEZ,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:03.000+02:00,2024-09-14T14:03:16.000+02:00,2024-09-14T15:28:19.000+02:00,2024-09-14T16:54:14.000+02:00,2024-09-14T18:54:46.000+02:00,2024-09-14T22:19:02.000+02:00
666,Marc LE DEZ,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:01.000+02:00,2024-09-14T14:03:13.000+02:00,2024-09-14T15:28:19.000+02:00,2024-09-14T16:52:56.000+02:00,2024-09-14T18:54:53.000+02:00,2024-09-14T19:54:30.000+02:00
578,Tanguy DELAFOSSE,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:05.000+02:00,2024-09-14T13:57:46.000+02:00,2024-09-14T15:25:59.000+02:00,2024-09-14T17:02:59.000+02:00,2024-09-14T19:06:35.000+02:00,2024-09-14T19:25:21.000+02:00
748,Thomas POUPON,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:14:47.000+02:00,2024-09-14T14:13:10.000+02:00,2024-09-14T15:49:46.000+02:00,2024-09-14T17:15:52.000+02:00,2024-09-14T19:10:15.000+02:00,2024-09-14T19:32:03.000+02:00
635,Adèle JACQ,FINISHER,SE F,FEMALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:13:49.000+02:00,2024-09-14T14:07:45.000+02:00,2024-09-14T15:37:43.000+02:00,2024-09-14T17:12:04.000+02:00,2024-09-14T19:07:18.000+02:00,2024-09-14T19:44:37.000+02:00
801,Fabrice YAOUANC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:27.000+02:00,2024-09-14T14:00:59.000+02:00,2024-09-14T15:39:55.000+02:00,2024-09-14T17:05:23.000+02:00,2024-09-14T19:09:31.000+02:00,2024-09-14T20:44:26.000+02:00
645,Jean Philippe KERVEILLANT,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:11:50.000+02:00,2024-09-14T14:06:54.000+02:00,2024-09-14T15:33:36.000+02:00,2024-09-14T16:58:25.000+02:00,2024-09-14T19:11:47.000+02:00,2024-09-14T19:28:39.000+02:00
527,Thibault BOIXIÈRE,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:17:06.000+02:00,2024-09-14T14:09:17.000+02:00,2024-09-14T15:43:02.000+02:00,2024-09-14T17:12:14.000+02:00,2024-09-14T19:11:53.000+02:00,2024-09-14T19:29:34.000+02:00
779,Isabelle SMOUCOVIT,FINISHER,M0 F,FEMALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:17:59.000+02:00,2024-09-14T14:19:36.000+02:00,2024-09-14T15:52:43.000+02:00,2024-09-14T17:21:58.000+02:00,2024-09-14T19:14:29.000+02:00,2024-09-14T19:51:32.000+02:00
715,Jordan MEUDEC,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:18:29.000+02:00,2024-09-14T14:14:21.000+02:00,2024-09-14T15:44:37.000+02:00,2024-09-14T17:21:20.000+02:00,2024-09-14T19:13:32.000+02:00,2024-09-14T19:40:54.000+02:00
515,Florian BESSON,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:42.000+02:00,2024-09-14T13:52:44.000+02:00,2024-09-14T15:22:33.000+02:00,2024-09-14T17:02:42.000+02:00,2024-09-14T19:12:46.000+02:00,2024-09-14T20:39:59.000+02:00
619,Charles GRIGNER,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:51.000+02:00,2024-09-14T14:00:18.000+02:00,2024-09-14T15:34:36.000+02:00,2024-09-14T17:17:43.000+02:00,2024-09-14T19:18:30.000+02:00,2024-09-14T20:19:25.000+02:00
763,Sterenn RONDEL,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:34.000+02:00,2024-09-14T13:59:51.000+02:00,2024-09-14T15:40:19.000+02:00,2024-09-14T17:17:47.000+02:00,2024-09-14T19:18:36.000+02:00,2024-09-14T19:47:23.000+02:00
599,Florent FITAMANT,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:13:58.000+02:00,2024-09-14T14:07:46.000+02:00,2024-09-14T15:42:35.000+02:00,2024-09-14T17:11:32.000+02:00,2024-09-14T19:16:30.000+02:00,2024-09-14T20:09:53.000+02:00
523,Fabien BLEUNVEN,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:14:37.000+02:00,2024-09-14T14:08:59.000+02:00,2024-09-14T15:44:22.000+02:00,2024-09-14T17:17:20.000+02:00,2024-09-14T19:16:43.000+02:00,2024-09-14T21:02:00.000+02:00
647,Télo LACROIX,FINISHER,ES H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:15:13.000+02:00,2024-09-14T14:14:24.000+02:00,2024-09-14T15:43:55.000+02:00,2024-09-14T17:14:10.000+02:00,2024-09-14T19:22:07.000+02:00,2024-09-14T20:21:34.000+02:00
559,Maxime CHEVALIER,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:36.000+02:00,2024-09-14T13:59:21.000+02:00,2024-09-14T15:40:50.000+02:00,2024-09-14T17:08:15.000+02:00,2024-09-14T19:17:31.000+02:00,2024-09-14T20:04:59.000+02:00
768,David SALAÜN,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:13:19.000+02:00,2024-09-14T14:13:20.000+02:00,2024-09-14T15:49:53.000+02:00,2024-09-14T17:26:54.000+02:00,2024-09-14T19:21:11.000+02:00,2024-09-14T20:24:14.000+02:00
669,Rosemary LE GAC,FINISHER,SE F,FEMALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:16:27.000+02:00,2024-09-14T14:15:59.000+02:00,2024-09-14T15:57:17.000+02:00,2024-09-14T17:27:41.000+02:00,2024-09-14T19:22:04.000+02:00,2024-09-14T20:02:14.000+02:00
520,Sebastien BILLET,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:18:05.000+02:00,2024-09-14T14:14:07.000+02:00,2024-09-14T15:45:37.000+02:00,2024-09-14T17:20:21.000+02:00,2024-09-14T19:22:27.000+02:00,2024-09-14T19:47:56.000+02:00
784,Arnaud TANGUY,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:38.000+02:00,2024-09-14T14:01:32.000+02:00,2024-09-14T15:30:39.000+02:00,2024-09-14T16:58:34.000+02:00,2024-09-14T19:18:23.000+02:00,2024-09-14T21:01:06.000+02:00
567,Guillaume COAT,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:20:14.000+02:00,2024-09-14T14:19:16.000+02:00,2024-09-14T15:59:37.000+02:00,2024-09-14T17:31:41.000+02:00,2024-09-14T19:24:05.000+02:00,2024-09-14T20:06:54.000+02:00
745,Matthieu PINIARD,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:17:24.000+02:00,2024-09-14T14:12:17.000+02:00,2024-09-14T15:45:10.000+02:00,2024-09-14T17:25:18.000+02:00,2024-09-14T19:24:13.000+02:00,2024-09-14T19:43:31.000+02:00
606,Pierre GESTIN,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:15:40.000+02:00,2024-09-14T14:14:01.000+02:00,2024-09-14T15:45:10.000+02:00,2024-09-14T17:11:19.000+02:00,2024-09-14T19:18:36.000+02:00,2024-09-14T19:53:55.000+02:00
633,François INSOGNA,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:11.000+02:00,2024-09-14T13:57:40.000+02:00,2024-09-14T15:42:50.000+02:00,2024-09-14T17:43:54.000+02:00,2024-09-14T19:27:30.000+02:00,2024-09-14T20:11:33.000+02:00
677,Vincent LE LEVIER,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:11:11.000+02:00,2024-09-14T14:05:31.000+02:00,2024-09-14T15:47:19.000+02:00,2024-09-14T17:16:47.000+02:00,2024-09-14T19:24:25.000+02:00,2024-09-14T20:04:31.000+02:00
700,Laurence LE VELLY,FINISHER,M3 F,FEMALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:18:02.000+02:00,2024-09-14T14:15:08.000+02:00,2024-09-14T15:46:51.000+02:00,2024-09-14T17:20:02.000+02:00,2024-09-14T19:25:37.000+02:00,2024-09-14T20:49:54.000+02:00
564,Thomas CIANCI,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:24.000+02:00,2024-09-14T13:57:37.000+02:00,2024-09-14T15:38:57.000+02:00,2024-09-14T17:15:39.000+02:00,2024-09-14T19:27:32.000+02:00,2024-09-14T19:48:52.000+02:00
581,Kévin DENIC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:18.000+02:00,2024-09-14T14:01:02.000+02:00,2024-09-14T15:54:49.000+02:00,2024-09-14T17:35:35.000+02:00,2024-09-14T19:33:56.000+02:00,2024-09-14T19:59:58.000+02:00
660,Charlie LE CAPITAINE,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:14:22.000+02:00,2024-09-14T14:11:25.000+02:00,2024-09-14T15:55:35.000+02:00,2024-09-14T17:35:35.000+02:00,2024-09-14T19:33:57.000+02:00,2024-09-14T20:00:20.000+02:00
554,Romain CASSAND,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:06.000+02:00,2024-09-14T13:56:51.000+02:00,2024-09-14T15:36:44.000+02:00,2024-09-14T17:25:11.000+02:00,2024-09-14T19:32:10.000+02:00,2024-09-14T19:48:35.000+02:00
638,Guillaume JAOUEN,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:17.000+02:00,2024-09-14T14:00:51.000+02:00,2024-09-14T15:36:27.000+02:00,2024-09-14T17:24:51.000+02:00,2024-09-14T19:32:12.000+02:00,2024-09-14T19:54:20.000+02:00
526,Antoine BODOLEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:20:19.000+02:00,2024-09-14T14:27:04.000+02:00,2024-09-14T16:30:59.000+02:00,2024-09-14T17:47:58.000+02:00,2024-09-14T19:37:04.000+02:00,2024-09-14T19:50:21.000+02:00
686,Antoine LE PEUCHANT,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:14:50.000+02:00,2024-09-14T14:08:56.000+02:00,2024-09-14T15:46:48.000+02:00,2024-09-14T17:27:23.000+02:00,2024-09-14T19:32:25.000+02:00,2024-09-14T19:56:25.000+02:00
621,Damien GUEGUEN,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:57.000+02:00,2024-09-14T13:59:31.000+02:00,2024-09-14T16:05:02.000+02:00,2024-09-14T17:37:42.000+02:00,2024-09-14T19:33:49.000+02:00,2024-09-14T19:50:38.000+02:00
670,Yoann LE GALL,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:14:45.000+02:00,2024-09-14T14:10:56.000+02:00,2024-09-14T15:43:51.000+02:00,2024-09-14T17:30:51.000+02:00,2024-09-14T19:35:21.000+02:00,2024-09-14T20:02:52.000+02:00
582,Nicolas DEQUIN,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:17:22.000+02:00,2024-09-14T14:12:13.000+02:00,2024-09-14T15:52:42.000+02:00,2024-09-14T17:31:51.000+02:00,2024-09-14T19:35:22.000+02:00,2024-09-14T20:03:12.000+02:00
775,Anne Helene SCALIGER,FINISHER,M1 F,FEMALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:15:07.000+02:00,2024-09-14T14:11:24.000+02:00,2024-09-14T16:03:26.000+02:00,2024-09-14T17:40:44.000+02:00,2024-09-14T19:37:01.000+02:00,2024-09-14T20:03:08.000+02:00
697,Hubert LESVEN,FINISHER,M4 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:13:52.000+02:00,2024-09-14T14:10:14.000+02:00,2024-09-14T16:01:22.000+02:00,2024-09-14T17:26:25.000+02:00,2024-09-14T19:37:09.000+02:00,2024-09-14T20:18:45.000+02:00
767,Stéphane ROZUEL,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:48.000+02:00,2024-09-14T14:08:42.000+02:00,2024-09-14T15:57:03.000+02:00,2024-09-14T17:35:51.000+02:00,2024-09-14T19:38:04.000+02:00,2024-09-14T20:22:15.000+02:00
